,Unnamed: 0,word,categ,prime,corrAns,correct,rt,file,word_prime_merge
4861,4861,LAGO,3,panadería,left,1,1.017063800245523,008,LAGO_panadería
4862,4862,JUKYSY,2,sonido,left,1,1.050448799971491,008,JUKYSY_sonido
4863,4863,SELVA,3,espalda,left,1,1.117023100145161,008,SELVA_espalda
4864,4864,MANZANA,3,sandalia,left,1,1.100362200289965,008,MANZANA_sandalia
4865,4865,AREKO,2,cocinar,left,0,2.183675999753177,008,AREKO_cocinar
4866,4866,OVEJA,3,labial,left,1,1.050371000077575,008,OVEJA_labial
4867,4867,PARQUE,3,anillo,left,1,1.400370699819177,008,PARQUE_anillo
4868,4868,EIRATÃ,2,casa,left,1,1.866812899708748,008,EIRATÃ_casa
4869,4869,ÁGUILA,3,yerba,left,1,1.317038299981505,008,ÁGUILA_yerba
4870,4870,REMERA,3,clavo,left,1,1.233726200181991,008,REMERA_clavo
4871,4871,HA'E,1,caballo,left,1,1.350356000009924,008,HA'E_caballo
4872,4872,TAPITI,2,tapa,left,1,1.650187900289893,008,TAPITI_tapa
4873,4873,KA'I,2,carta,left,1,1.450400599744171,008,KA'I_carta
4874,4874,MBARAKAJA,2,banana,left,1,1.733730299863964,008,MBARAKAJA_banana
4875,4875,ANGUJA,2,firma,left,1,1.767067400272936,008,ANGUJA_firma
4876,4876,NDE,1,cuchara,left,1,1.283705499954522,008,NDE_cuchara
4877,4877,AJOGUA,2,mano,left,1,2.250146599952132,008,AJOGUA_mano
4878,4878,AMBOJY,2,cielo,left,1,2.267091900110245,008,AMBOJY_cielo
4879,4879,CHE,1,hoja,left,1,1.200403799768537,008,CHE_hoja
4880,4880,HIJO,3,rayo,left,1,1.36705410014838,008,HIJO_rayo
4881,4881,MYMBA,2,tablero,left,1,1.450382400304079,008,MYMBA_tablero
4882,4882,CAMELLO,3,kiwi,left,1,1.450393400155008,008,CAMELLO_kiwi
4883,4883,VAKAME,2,nave,left,1,1.317039099987596,008,VAKAME_nave
4884,4884,RÍO,3,barba,left,1,1.117056100163609,008,RÍO_barba
4885,4885,MERÕ,2,ala,left,1,1.933467099908739,008,MERÕ_ala
4886,4886,Y,1,noche,left,1,1.283728499896824,008,Y_noche
4887,4887,YVYPÓRA,1,conejo,left,1,1.583851300179958,008,YVYPÓRA_conejo
4888,4888,OÑE'Ẽ,1,hormiga,left,1,1.417160599958152,008,OÑE'Ẽ_hormiga
4889,4889,AGUYJE,1,azúcar,left,1,1.217043799813837,008,AGUYJE_azúcar
4890,4890,TÍO,3,ricota,left,1,2.483737499918789,008,TÍO_ricota
4891,4891,ARANDUKA,1,balcón,left,0,1.850413199979812,008,ARANDUKA_balcón
4892,4892,COCODRILO,3,codo,left,1,1.117008300032467,008,COCODRILO_codo
4893,4893,OGUATA,2,avena,left,1,1.267073499970138,008,OGUATA_avena
4894,4894,KURE,2,edificio,left,1,1.217056499794126,008,KURE_edificio
4895,4895,VIDA,3,trapo,left,1,1.667069399729371,008,VIDA_trapo
4896,4896,CACHORRO,3,cebolla,left,1,1.300389199983329,008,CACHORRO_cebolla
4897,4897,KUIMBA'E,1,noche,left,1,1.467109700199217,008,KUIMBA'E_noche
4898,4898,KARUMBE,2,arroz,left,1,1.867049899883568,008,KARUMBE_arroz
4899,4899,KUATIAÑE'Ẽ,1,hierro,left,1,1.533740399871022,008,KUATIAÑE'Ẽ_hierro
4900,4900,MITÃKUÑA'I,1,gallo,left,1,1.333665399812162,008,MITÃKUÑA'I_gallo
4901,4901,OÑANI,2,ojo,left,1,1.467063500080258,008,OÑANI_ojo
4902,4902,KO'Ẽ,1,vaso,left,1,1.417026399634778,008,KO'Ẽ_vaso
4903,4903,CABEZA,3,té,left,1,1.583670499734581,008,CABEZA_té
4904,4904,RUPI'A,2,rubí,left,1,1.067060499917716,008,RUPI'A_rubí
4905,4905,KARAI,1,amanecer,left,1,0.8504070001654327,008,KARAI_amanecer
4906,4906,ÑATI'Ũ,2,hormigón,left,1,0.6837295996956527,008,ÑATI'Ũ_hormigón
