subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,papa_ÑANDU,2,reciente_no,435,Cz,0.5,0.8,4.546004495531629,0,rec
001,papa_ÑANDU,2,reciente_no,435,Pz,0.3,0.5,0.4075129960591978,0,rec
001,papa_ÑANDU,2,reciente_no,435,Pz,0.5,0.8,0.03006818637003005,0,rec
001,cartón_HUMANO,3,español_no,332,Cz,0.3,0.5,4.458245345176413,0,esp
001,cartón_HUMANO,3,español_no,332,Cz,0.5,0.8,3.041155631951837,0,esp
001,cartón_HUMANO,3,español_no,332,Pz,0.3,0.5,2.4661241221564034,0,esp
001,cartón_HUMANO,3,español_no,332,Pz,0.5,0.8,2.120343380063765,0,esp
001,ave_YPE,5,reciente_si,337,Cz,0.3,0.5,-0.0386298634828284,1,rec
001,ave_YPE,5,reciente_si,337,Cz,0.5,0.8,0.8380476474905246,1,rec
001,ave_YPE,5,reciente_si,337,Pz,0.3,0.5,8.581151668842022,1,rec
001,ave_YPE,5,reciente_si,337,Pz,0.5,0.8,5.510864773501269,1,rec
001,taza_GUYRA,2,reciente_no,341,Cz,0.3,0.5,0.017744433134794305,0,rec
001,taza_GUYRA,2,reciente_no,341,Cz,0.5,0.8,-0.7575982004641609,0,rec
001,taza_GUYRA,2,reciente_no,341,Pz,0.3,0.5,0.7269375516513649,0,rec
001,taza_GUYRA,2,reciente_no,341,Pz,0.5,0.8,0.26783967793585456,0,rec
001,menta_PYHAREVE,1,remoto_no,477,Cz,0.3,0.5,0.4712584797660104,0,rem
001,menta_PYHAREVE,1,remoto_no,477,Cz,0.5,0.8,0.9409612760676904,0,rem
001,menta_PYHAREVE,1,remoto_no,477,Pz,0.3,0.5,2.6033633167927084,0,rem
001,menta_PYHAREVE,1,remoto_no,477,Pz,0.5,0.8,3.7441191184504126,0,rem
001,bello_IPORÃ,4,remoto_si,337,Cz,0.3,0.5,-5.179720776012311,1,rem
001,bello_IPORÃ,4,remoto_si,337,Cz,0.5,0.8,-9.708315096297852,1,rem
001,bello_IPORÃ,4,remoto_si,337,Pz,0.3,0.5,-7.162595808900033,1,rem
001,bello_IPORÃ,4,remoto_si,337,Pz,0.5,0.8,-12.43604006448399,1,rem
001,animal_JAGUA,5,reciente_si,328,Cz,0.3,0.5,2.5926967667093357,1,rec
001,animal_JAGUA,5,reciente_si,328,Cz,0.5,0.8,1.3514613932185255,1,rec
001,animal_JAGUA,5,reciente_si,328,Pz,0.3,0.5,4.473353916635881,1,rec
001,animal_JAGUA,5,reciente_si,328,Pz,0.5,0.8,3.7705094284313905,1,rec
